rightName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"<menu id=""menu_Category_ReadMe"" rightName="""" open=""true"">",36,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
rightName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/exdDatabaseView_16x16.gif"" rightName=""menuItem_Administration_Rights"" />",83,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
rightName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/index_16x16.gif"" rightName=""menuItem_MainData_Branch"" />",61,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
rightName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"<menu id=""menu_Category_MainData"" rightName=""menuCat_MainData"">",57,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
rightName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/view.gif"" rightName=""menuItem_OfficeData_Customers"" />",51,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
rightName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/exdDatabaseView_16x16.gif"" rightName=""menuItem_Administration_Roles"" />",74,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
rightName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"<menu id=""menu_Category_OfficeData"" rightName=""menuCat_OfficeData"">",49,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
rightName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/method_16x16.gif"" rightName=""menuItem_Administration_LoginsLog"" />",87,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
rightName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/view.gif"" rightName=""menuItem_OfficeData_Orders"" />",53,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
rightName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"iconName=""/images/icons/index_16x16.gif"" rightName=""menuItem_MainData_Office"" />",63,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
rightName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"<menu id=""menu_Category_UserRights"" rightName=""menuCat_UserRights"">",70,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
rightName,MenuItemDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuItemDomain.java,"zulNavigation=""/WEB-INF/pages/sec_user/userList.zul"" rightName=""menuItem_Administration_Users"" />",69,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
pagedListWrapper,GFCBaseListCtrl.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\webui\\util\\GFCBaseListCtrl.java,"p:pagedListWrapper-ref=""pagedListWrapper"">",268,applicationContext-guiControllers.xml,zksample2\zkoss\src\main\resources\applicationContext-guiControllers.xml
date,ApplicationNews.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\ApplicationNews.java,"<property name=""date"" type=""timestamp"">",20,ApplicationNews.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\ApplicationNews.hbm.xml
open,MenuDomain.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\domain\\MenuDomain.java,"<menu id=""menu_Category_ReadMe"" rightName="""" open=""true"">",36,mainmenu.xml,zksample2\zkoss\src\main\resources\mainmenu.xml
guiLoginLoggingPolicService,LoginLoggingPolicyService.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\policy\\LoginLoggingPolicyService.java,"<beans:property name=""guiLoginLoggingPolicService"" ref=""guiLoginLoggingPolicService"" />",135,springSecurityContext.xml,zksample2\zkoss\src\main\resources\springSecurityContext.xml
officeDetailCtrl,OfficeMainCtrl.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\webui\\office\\OfficeMainCtrl.java,"<property name=""officeDetailCtrl"" ref=""officeDetailCtrl"" />",127,applicationContext-guiControllers.xml,zksample2\zkoss\src\main\resources\applicationContext-guiControllers.xml
articleListCtrl,ArticleMainCtrl.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\webui\\article\\ArticleMainCtrl.java,"<property name=""articleListCtrl"" ref=""articleListCtrl"" />",47,applicationContext-guiControllers.xml,zksample2\zkoss\src\main\resources\applicationContext-guiControllers.xml
chartDataDAO,ChartServiceImpl.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\service\\impl\\ChartServiceImpl.java,"<property name=""chartDataDAO"" ref=""chartDataDAO"" />",205,applicationContext-hibernate.xml,zksample2\spring-hibernate-backend\src\main\resources\applicationContext-hibernate.xml
userWorkspace,GFCBaseCtrl.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\webui\\util\\GFCBaseCtrl.java,"<property name=""userWorkspace"" ref=""userWorkspace"" />",264,applicationContext-guiControllers.xml,zksample2\zkoss\src\main\resources\applicationContext-guiControllers.xml
articleDetailCtrl,ArticleMainCtrl.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\webui\\article\\ArticleMainCtrl.java,"<property name=""articleDetailCtrl"" ref=""articleDetailCtrl"" />",48,applicationContext-guiControllers.xml,zksample2\zkoss\src\main\resources\applicationContext-guiControllers.xml
